source_id,publisher,title,url,type,grade,use
SRC-100,Ferrari S.p.A. (Ferrari.com),328 GTB (1985) model page,https://www.ferrari.com/en-EN/auto/328-gtb,OEM heritage,A,Model identity/era confirmation for 328 GTB
SRC-101,supercars.net,1985 Ferrari 328 GTB - The Ultimate Guide,https://www.supercars.net/blog/1985-ferrari-328-gtb/,technical specialist,B+,"270 hp, 231 lb-ft, 2350mm wheelbase, 1263kg curb weight, 5MT"
SRC-102,Ford Motor Company (archived by CVPI Club),2011 Police and Special Service Vehicles catalog,https://cvpi.club/library/2011%20Police%20Brochure.pdf,OEM fleet brochure,A-,"P71 Crown Victoria 4.6L V8, 4R70W 4AT, 8.8in Trac-Loc rear axle, pursuit chassis hardware"
SRC-103,Stellantis (FCA US) Fleet,2020 Dodge Charger Pursuit Specifications,https://www.stellantisfleet.com/content/dam/fca-fleet/na/fleet/en_us/dodge/2020/charger-pursuit/buyers-guide/2020_DG_Charger_Pursuit_SPECS.pdf,OEM fleet spec sheet,A,"5.7L HEMI 370 hp/395 lb-ft and 3.6L Pentastar 292 hp/260 lb-ft options, 5-speed automatic, RWD/AWD"
SRC-001,Shelby American Collection,1965 Shelby Mustang GT350,https://www.shelbyamericancollection.org/shelby-mustangs/1965-shelby-mustang-gt350,heritage/museum,A,"306 hp, 289 ci, 108-in wheelbase, ~2,800 lb; historical overview"
SRC-002,Ford Media,50 Years of Mustang Milestones,https://media.ford.com/content/dam/fordmedia/North%20America/US/2013/12/05/Mustang_Milestones.pdf,OEM,A,"Mustang chronology, 1967 GT500 355 hp, Bullitt, Boss 302/429, 1971 changes"
SRC-003,Car and Driver,1969 Ford Mustang Mach I road test,https://www.caranddriver.com/reviews/a15141962/1969-ford-mustang-mach-i-review/,period test,A-,"428 ci, 335 hp, 440 lb-ft, 3607 lb, 108-in wheelbase, test results"
SRC-004,Ford Media,2018 Mustang vehicle guide,https://media.ford.com/content/dam/fordmedia/North%20America/US/product/2018/mustang/18-mustang.pdf,OEM,A,"2018 GT 5.0: 460 hp @ 7000, 420 lb-ft @ 4600"
SRC-005,Ford Media,Shelby GT350 5.2L Voodoo,https://media.ford.com/content/fordmedia-mobile/fna/ca/en/news/2015/06/02/526-horsepower-ford-shelby-gt350-mustang.html,OEM,A,"526 hp, 429 lb-ft, 8250 rpm, 12.0:1, TR-3160"
SRC-006,Ford Media,2022 Mustang Technical Specifications,https://media.ford.com/content/dam/fordmedia/North%20America/US/product/2022/mustang/2022-Mustang-Tech-Specs.pdf,OEM,A,2022 Mustang/GT500 dimensions and mass data
SRC-007,Ford Media,2021 Shelby GT500 Order Guide,https://media.ford.com/content/dam/fordmedia/North%20America/US/product/2021/mustang/2021-Shelby-GT500-Order-Guide.pdf,OEM,A,"5.2 supercharged V8, Tremec 7-speed DCT, Brembo, cooling hardware"
SRC-008,Engineering Explained,2020 Shelby GT500 technical review,https://www.youtube.com/watch?v=CGOl8iu7dZo,video,B+,"760 hp/625 lb-ft; engine, blower, cooling and chassis engineering discussion"
SRC-009,Late Model Restoration,Fox Body Mustang History,https://www.youtube.com/watch?v=5DnUDRAylw4,video,B+,"Fox platform timeline, SSP, EFI, SVO, Cobra; chaptered video"
SRC-010,Foxbody Archive,Fox Mustang Technical Specifications,https://www.thefoxbodyarchive.com/specs,specialist archive,B+,"5.0 HO, T5, axle, production and option references"
SRC-011,Porsche Newsroom,911 Carrera RS 2.7,https://newsroom.porsche.com/en/press-kits/Porsche-Museum/Porsche-911-Carrera-RS-2.7.html,OEM heritage,A,"2687 cc flat-six, 210 hp, 245 km/h; gallery"
SRC-012,Porsche Newsroom,911 Turbo generations,https://newsroom.porsche.com/en/press-kits/50-years-porsche-turbo/The-911-Turbo-generations.html,OEM heritage,A,"930 3.3: 300 PS, 412 Nm, 260 km/h; generation history"
SRC-013,Porsche Newsroom,911 GT3 RS model page,https://newsroom.porsche.com/en_US/model-range/911/911-GT3-RS.html,OEM media,A,518 hp modern GT3 RS; photo/video/tech-spec media index
SRC-014,Nissan Heritage Collection,1997 Skyline GT-R V-Spec,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/skyline_gt-r_1997.html,OEM heritage,A,"R33: 2.568L RB26DETT, 280 PS, 368 Nm, 1540 kg, ATTESA E-TS PRO"
SRC-015,Nissan Heritage Collection,1991 Skyline GT-R,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/skyline_gt-r_1991.html,OEM heritage,A,R32 road/race context; RB26DETT and chassis
SRC-016,Nissan Heritage Collection,2002 Skyline GT-R,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/skyline_gt-r_2002.html,OEM heritage,A,"R34 competition reference; RB26DETT, 6-speed sequential on displayed race replica"
SRC-017,BMW M,BMW M3 generations,https://www.bmw-m.com/en/topics/magazine-article-pool/bmw-m3-generationen.html,OEM heritage,A,E30-E36-E46-E9x-F80-G80 chronology and output ranges
SRC-018,Lotus Cars,Lotus Elan heritage,https://www.lotuscars.com/lotus-story/road-cars/elan,OEM heritage,A,"1558 cc DOHC, backbone chassis, composite body, independent suspension"
SRC-019,Honda,2026 Civic Si specifications,https://automobiles.honda.com/civic-si-sedan/specs-features-trim-comparison,OEM,A,"200 hp, 192 lb-ft, 6MT ratios, helical LSD, suspension, 2952 lb"
SRC-020,Acura,NSX chronology,https://www.acura.com/news-and-press/press-release-detail?article=2653-en,OEM heritage,A,"1991 NSX: aluminum chassis/body, 3.0 V6, 270 hp, 210 lb-ft, 5MT"
SRC-021,Acura,2002 NSX specifications,https://www.acura.com/news-and-press/press-release-detail?article=614-en,OEM,A,"3.2 V6 manual: 290 hp, 224 lb-ft, 8000 rpm; 3.0 automatic specs"
SRC-022,Acura,2017 NSX specifications,https://www.acura.com/news-and-press/press-release-detail?article=8893-en,OEM,A,573 hp hybrid system; 3.5 twin-turbo V6; 9DCT; SH-AWD
SRC-023,Toyota USA Newsroom,MR2 historical archive,https://pressroom.toyota.com/historic-vehicles/mr2/,OEM heritage,A,Three-generation MR2 historical index with photos
SRC-024,Toyota Global,1st-generation MR2 specification,https://www.toyota.co.jp/jpn/company/history/75years/vehicle_lineage/car/id60000661/index.html,OEM heritage,A,"AW11: 4A-GE 1.6, 130 PS JDM reference, 950 kg, 2320 mm wheelbase"
SRC-025,Toyota Global,MR-S / 3rd-generation MR2 specification,https://www.toyota-global.com/company/history_of_toyota/75years/vehicle_lineage/car/id60000647/,OEM heritage,A,"ZZW30: 1.8 1ZZ-FE 140 PS, ~970 kg, 2450 mm wheelbase"
SRC-026,GM Heritage,1964 Pontiac GTO,https://www.gm.com/heritage/collection/pontiac/1964-pontiac-gto,OEM heritage,A,389 V8 325 hp; Tri-Power 348 hp optional; period context
SRC-027,Chevrolet,Corvette Legacy,https://www.chevrolet.com/legacy/corvette,OEM heritage,A,"C1-C8 history, Z06/Grand Sport milestones, engines and technology"
SRC-028,Chevrolet News,Corvette Z06 generations,https://news.chevrolet.com/newsroom.detail.html/Pages/news/us/en/2021/oct/1026-corvette-z06.html,OEM,A,Z06 generation table from C2 through C8
SRC-029,Ford Corporate,GT40 origins,https://corporate.ford.com/articles/history/ford-gt40-origins/,OEM heritage,A,GT40 development history and engineering objectives
SRC-030,Ford Corporate,GT40 427 / 1965 development,https://corporate.ford.com/articles/history/ford-gt40-origins-427-gt40x.html,OEM heritage,A,"427 integration, aero, cooling, chassis development"
SRC-031,Ford Corporate,GT40 1966 Le Mans victory,https://corporate.ford.com/articles/history/ford-gt40-origins-le-mans-committee-victory.html,OEM heritage,A,"Mk II development, 427 and 4-speed trans, endurance engineering"
SRC-032,Superformance,GT40 MKI specifications,https://www.superformance.com/vehicles/gt40,manufacturer,A-,Continuation-car dimensions and chassis/suspension details
SRC-033,Ford Media,2025 Police Interceptor Utility technical specs,https://media.ford.com/content/dam/fordmedia/North%20America/US/2024/08/06/Ford%20PRO%20Explorer_PIU_Tech%20Specs%20June%202024.pdf,OEM,A,"PIU powertrains, ratios, brakes, 255/60R18 tires, dimensions"
SRC-034,J.D. Power,2011 Crown Victoria Police Interceptor specs,https://www.jdpower.com/cars/2011/ford/police-interceptor/sedan-4d-police-interceptor/specs,reference,B,"4.6 V8 250 hp, 297 lb-ft, 4AT"
SRC-035,MotorTrend,Fiat X1/9 history,https://www.motortrend.com/features/fiat-x19-history-generations-specifications,secondary,B+,"mid-engine, 1.3 SOHC, 4MT, four-wheel discs, suspension context"
SRC-036,Classic Recreations,Shelby GT500CR Classic,https://classic-recreations.com/models/shelby-gt500-classic/,manufacturer,A-,"427/5.0 crate engines, 545/490/770 hp options, Tremec, 3.70 rear"
SRC-037,Ford Media,Bullitt 50th Anniversary article,https://media.ford.com/content/fordmedia/fna/ca/en/news/2018/01/14/50th-anniversary-mustang-bullitt.html,OEM heritage,A,1968 Bullitt movie-car provenance plus modern tribute context
SRC-038,Cars.com,1998 Pontiac Firebird specifications,https://www.cars.com/research/pontiac-firebird-1998/specs/,secondary,B,"trim, dimensions, base V6; Formula/Trans Am LS1 context on related page"
SRC-039,Ferrari,250 California history/specification,https://www.ferrari.com/en-PA/history/garage/1957/250-california,OEM heritage,A,"2.953L 60° V12, 240 hp @ 7000, 252 km/h"
SRC-040,Ferrari,365 GTB4 Daytona history/specification,https://www.ferrari.com/en-TD/history/garage/1968/365-gtb4,OEM heritage,A,"4.390L 60° V12, 352 hp @ 7500, 280 km/h; front-engine/transaxle context"
SRC-041,Toyota,1993 all-new Supra launch,https://global.toyota/en/detail/7868203,OEM heritage,A,2JZ-GTE 3.0 twin-turbo 280 PS/44.0 kg-m JDM; Getrag 6MT; ETCS
SRC-042,Toyota,2JZ-GTE engine media asset,https://global.toyota/en/download/41120967,OEM media,A,official engine imagery and launch context
SRC-043,Nissan Heritage,2000 Skyline GT-R V-Spec II,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/280_skyline_gt-r_v-spec_ii.html,OEM heritage,A,"R34: 280 PS, 392 Nm, 1560 kg, 245/40ZR18, multilink"
SRC-044,BMW M,M3 GTR Street,https://www.bmw-m.com/en/topics/magazine-article-pool/bmw-m3-gtr-strassenversion.html,OEM heritage,A,"4.0 V8, 350 hp, 365 Nm, 1350 kg, 295 km/h"
SRC-045,BMW M,Legendary M engines,https://www.bmw-m.com/en/topics/magazine-article-pool/bmw-m-engines.html,OEM heritage,A,S54 and P60 specifications; M3 GTR engine details
SRC-070,Nissan Heritage Collection,1989 Skyline GT-R (BNR32),https://www.nissan-global.com/EN/HERITAGE_COLLECTION/skyline_gt-r_1989.html,OEM heritage,A,"R32: 2.568L RB26DETT, 280 PS (206 kW) @ 6800, 353 Nm (36 kgm) @ 4400, 5MT, ATTESA E-TS AWD, 2615 mm wheelbase, 1430 kg"
SRC-071,evo,Nissan Skyline GT-R R34 review history and specs,https://www.evo.co.uk/nissan/skyline/gt-r-r34,secondary,B+,Corroborates R34 GT-R sold exclusively with 6-speed manual transmission
SRC-072,Supercars.net,1993 Toyota Supra Guide: History Specifications & Performance,https://www.supercars.net/blog/1993-toyota-supra-guide-history-specifications-performance/,specialist archive,B+,"US-spec Supra Turbo 2JZ-GTE: 320 hp @5600, 315 lb-ft @4000, 6-speed manual, period 0-60/quarter-mile figures"
SRC-073,Acura/Honda Newsroom,1991 Acura NSX Introduction press kit,https://acuranews.com/en-US/releases/release-4edb8848ab8a9f2f9a24ee004c34ca7a-1991-acura-nsx-introduction,OEM,A,"99.6 in wheelbase; 5MT/4AT gearbox options; all-aluminum monocoque"
SRC-074,The Car Connection,2017 Acura NSX specifications,https://www.thecarconnection.com/specifications/acura_nsx_2017,secondary,B,"103.5 in wheelbase, 3803 lb curb weight"
SRC-075,GM Authority,C4 Corvette ZR-1: Remembering the Lotus-developed LT5 V8,https://gmauthority.com/blog/2021/10/remembering-the-lotus-developed-lt5-v8-in-the-c4-corvette-zr-1/,enthusiast/specialist,B,"LT5 375 hp/370 lb-ft (1990-92), 405 hp/385 lb-ft (1993-95), ZF 6-speed manual"
SRC-076,CorvSport,The 1997-2004 C5 Corvette Buyers Guide,https://www.corvsport.com/c5-corvette-buyers-guide/,specialist archive,B+,"1997 LS1: 345 hp @5600, 350 lb-ft @4400; 104.5 in wheelbase, 3245 lb"
SRC-077,CorvSport,A Guide to Every C6 Corvette Engine,https://www.corvsport.com/every-c6-corvette-engine/,specialist archive,B+,"LS2: 400 hp @6000, 400 lb-ft @4400; 105.7 in wheelbase, 3179 lb base"
SRC-078,StreetMuscle,Retro Review: 1990 Chevrolet Corvette ZR-1,https://www.streetmusclemag.com/features/retro-review-1990-chevrolet-corvette-zr-1/,secondary,B,"Cites period Car and Driver test data: 0-60 ~4.5s, quarter mile ~12.8s for 1990 ZR-1"
SRC-050,Wikipedia,BMW 3 Series (E36),https://en.wikipedia.org/wiki/BMW_3_Series_(E36),secondary,B,"US S50B30US/S52B32 and European S50B32 M3 engine variants, power/torque, wheelbase, curb weight range"
SRC-051,Wikipedia,BMW M3,https://en.wikipedia.org/wiki/BMW_M3,secondary,B,E46 S54 power/torque/wheelbase/curb weight specification table
SRC-052,Wikipedia,BMW M3,https://en.wikipedia.org/wiki/BMW_M3,secondary,B,E90/E92/E93 S65 V8 power/torque/wheelbase/curb weight range by body style
SRC-053,encycarpedia,BMW M3 Competition Package (F80) specs (2016-2018),https://www.encycarpedia.com/us/bmw/16-m3-competition-package-f80-sedan,secondary,B,S55 power/torque band; curb weight; wheelbase
SRC-054,SlashGear,What Year BMW M3 Has The S58 Engine & How Much Horsepower Does It Produce?,https://www.slashgear.com/1565934/s58-engine-what-year-bmw-m3-how-much-horsepower/,secondary,B,S58 power/torque for base and Competition xDrive G80 M3; 0-60 claim
SRC-055,Wikipedia,BMW P60B40,https://en.wikipedia.org/wiki/BMW_P60B40,secondary,B,Race-spec restrictor power ranges (444-500 hp) and unrestricted dyno figures; ALMS competition history
SRC-056,Wikipedia,Pontiac Firebird (fourth generation),https://en.wikipedia.org/wiki/Pontiac_Firebird_(fourth_generation),secondary,B,"LS1 curb weight (3,284 lb), wheelbase (101.1 in), 1998 facelift context"
SRC-057,MotorWeek,1998 Pontiac Firebird Trans Am road test,https://motorweek.org/road_tests/1998_pontiac_firebird_trans_am/,period test,B+,Period-test corroboration of LS1 305 hp / 335 lb-ft @ 4000 rpm
SRC-058,Wikipedia,Dodge Viper (SR I),https://en.wikipedia.org/wiki/Dodge_Viper_(SR_I),secondary,B,"1992 RT/10 8.0L V10 power/torque, T56 6-speed manual, wheelbase, curb weight, chassis construction"
SRC-059,conceptcarz,1992 Dodge Viper RT/10 Specifications & Dimensions,https://www.conceptcarz.com/s20480/dodge-viper-rt/10.aspx,secondary,B,Corroborating dimensional and powertrain data for launch-year RT/10
SRC-060,Wikipedia,Ford Falcon (XB),https://en.wikipedia.org/wiki/Ford_Falcon_(XB),secondary,B,"XB GT engine options, 4-speed manual, wheelbase (111.0 in), curb weight (1,394 kg), production and motorsport context"
SRC-061,automobile-catalog,1973 Ford Falcon Sedan 351 V8 4-speed (XB) Specs Review,https://www.automobile-catalog.com/car/1973/993155/ford_falcon_sedan_351_v8_4-speed.html,secondary,B,Period Australian power output figure (194 kW / 264 PS / 260 hp) for 351 V8 XB configuration
SRC-110,conceptcarz.com,1963 Ford Falcon Specifications & Dimensions,https://www.conceptcarz.com/s10935/ford-falcon.aspx,technical archive,B,"144/170 ci I6 and 260 ci V8 engine options, horsepower, 109.5-in wheelbase, transmission options"
SRC-111,automobile-catalog.com,1965 Ford (USA) Mustang Base Hardtop full range specs,https://www.automobile-catalog.com/make/ford_usa/mustang_1gen/mustang_1gen_base_hardtop/1965.html,technical archive,B,"200 ci I6 and 289 ci V8 (200/225/271 hp) engine range, 108-in wheelbase, ~2,562-lb hardtop curb weight"
SRC-112,conceptcarz.com,1967 Ford Mustang Specifications & Dimensions,https://www.conceptcarz.com/s420/ford-mustang.aspx,technical archive,B,"I6/289/390 engine lineup and horsepower, 108-in wheelbase, curb weight range across body styles"
SRC-113,automobile-catalog.com,1968 Ford Mustang GT Fastback 2+2 390 Thunderbird Special V-8 4-speed Specs Review,https://www.automobile-catalog.com/car/1968/832430/ford_mustang_gt_fastback_22_390_thunderbird_special_v-8_4-speed.html,technical archive,B,"390 FE V8 power/torque rating (325 hp), 4-speed manual, GT fastback configuration"
SRC-114,TopSpeed,Ford Mustang Bullitt: The Star of Arguably the Most Famous Car Chase Scenes in History,https://topspeed.com/cars/ford/1968-ford-mustang-bullitt-ar183790.amp.html,secondary,B,"390 V8 320-330 hp, 427 lb-ft torque, ~2,800 lb curb weight, film-car provenance context"
SRC-115,Wikipedia,Boss 429 Mustang,https://en.wikipedia.org/wiki/Boss_429_Mustang,secondary,B,"429 ci semi-hemi V8, advertised 375 hp vs measured ~352 hp, 450 lb-ft, 4-speed manual, 3,870-lb curb weight, production history"
SRC-116,automobile-catalog.com,1969 Ford Mustang Boss 429 Specs Review,https://www.automobile-catalog.com/car/1969/835475/ford_mustang_boss_429.html,technical archive,B,Corroborating power/torque figures and body dimensions for Boss 429
SRC-117,automobile-catalog.com,1978 Ford Mustang II King Cobra Specs Review,https://www.automobile-catalog.com/car/1978/858875/ford_mustang_ii_king_cobra.html,technical archive,B,"302 V8 SAE net 139 hp/250 lb-ft, 96.2-in wheelbase, 3,153-lb curb weight, 4-speed manual"
SRC-118,encycarpedia,Ford Mustang II King Cobra specs (1978),https://www.encycarpedia.com/us/ford/78-mustang-ii-king-cobra-hatch,technical archive,B,Corroborating 1978 King Cobra powertrain and dimensional data
SRC-119,carfolio.com,1993 Ford Mustang GT: detailed specifications performance and economy data,https://www.carfolio.com/ford-mustang-gt-635668,technical archive,B,"5.0 HO V8 205 hp/275 lb-ft rating, ~1,426 kg curb weight"
SRC-120,encycarpedia,Ford Mustang SVT Cobra specs (1993),https://www.encycarpedia.com/us/ford/93-mustang-svt-cobra-hatch,technical archive,B,"302 V8 SVT tune, 240 bhp @ 4800 rpm, 280 lb-ft @ 4000 rpm, 5-speed manual"
SRC-121,Wikipedia,Ford Mustang SVT Cobra,https://en.wikipedia.org/wiki/Ford_Mustang_SVT_Cobra,secondary,B,Corroborating 1993 SVT Cobra factory 235 hp rating and model-year context
SRC-122,automobile-catalog.com,1996 Ford Mustang SVT Cobra Coupe Specs Review,https://www.automobile-catalog.com/car/1996/885560/ford_mustang_svt_cobra_coupe.html,technical archive,B,"4.6L DOHC 32V power/torque (305 hp @ 5800 rpm; 300 lb-ft @ 4800 rpm), coupe/convertible curb weights, 5-speed manual"
SRC-123,automobile-catalog.com,2005 Ford Mustang GT Specs Review,https://www.automobile-catalog.com/car/2005/893885/ford_mustang_gt.html,technical archive,B,"4.6L 3V modular V8 rating (300 hp), 320 lb-ft torque, ~3,450 lb curb weight, first-year S197 GT configuration"
SRC-124,Automotive Addicts,2015 Ford Mustang Specs Revealed – GT Gets 435 Horsepower,https://www.automotiveaddicts.com/44779/2015-ford-mustang-specs-revealed-gt-gets-435-horsepower,secondary,B,"Reporting Ford's official July 2014 press release figures: 435 hp/400 lb-ft 5.0L Coyote, 3,705-lb manual curb weight"
SRC-125,conceptcarz.com,2015 Ford Mustang GT Specifications & Dimensions,https://www.conceptcarz.com/s23450/ford-mustang-gt.aspx,technical archive,B,Corroborating 107.1-in wheelbase and drivetrain configuration for 2015 Mustang GT
SRC-170,Edmunds,2016 Ford Shelby GT350 Specs & Features,https://www.edmunds.com/ford/shelby-gt350/2016/features-specs/,secondary,B,"107.1 in wheelbase, ~3,760 lb curb weight for base GT350 coupe"
SRC-171,Ford Media Center (Canada),Ford Releases Details on World's First Mass-Produced Carbon Fibre Wheels for Shelby GT350R Mustang,https://media.ford.com/content/fordmedia/fna/ca/en/news/2015/07/14/gt350r-carbon-fiber-wheels.html,OEM media,A,"Carbon Revolution wheel construction, 18 lb vs 33 lb weight, 305/315 tire sizing"
SRC-172,GTspirit,Ford Mustang Shelby GT350 Weight Figures Revealed,https://gtspirit.com/2015/07/30/ford-mustang-shelby-gt350-weight-figures-revealed/,secondary,B,"GT350R curb weight of 3,650 lb as stated by Ford at Grattan Raceway event"
SRC-173,Autoblog,480-hp 2019 Ford Mustang Bullitt now open for orders,https://www.autoblog.com/2018/03/29/2019-ford-mustang-bullitt-pricing-horsepower/,secondary,B,"480 hp/420 lb-ft rating, GT350 intake manifold/87mm throttle body, 6-speed manual only, Torsen LSD"
SRC-174,GM Authority,2014 Chevrolet Corvette Info Pictures Specs Wiki,https://gmauthority.com/blog/gm/chevrolet/corvette/2014-corvette/,secondary,B,"LT1 455/460 hp and 460/465 lb-ft figures, 106.7 in wheelbase, 3,347 lb base curb weight"
SRC-175,CorvetteActionCenter,Compact Powerhouse: Inside Corvette Z06's LT4 Engine,https://www.corvetteactioncenter.com/specs/c7-corvette/2015-c7-corvette/compact-powerhouse-inside-corvette-z06-lt4-engine.html,technical archive,B+,"LT4 650 hp/650 lb-ft SAE certification, dry-sump/titanium valve architecture, 10:1 compression"
SRC-176,CorvetteBlogger,2015 Corvette Z06 Coupe's Curb Weight is Confirmed at 3524 pounds,https://www.corvetteblogger.com/2014/08/16/2015-corvette-z06-coupes-curb-weight-is-confirmed-at-3524-pounds/,secondary,B,"3,524 lb coupe curb weight from GM's dealer order guide"
SRC-177,Wikipedia,AMC Pacer,https://en.wikipedia.org/wiki/AMC_Pacer,secondary,B,"100.0 in wheelbase, ~3,000 lb curb weight, 232/258 I6 and later 304 V8 options, 258 I6 110 hp"
SRC-178,Fox News,Ford's new high-tech high-performance Police Interceptor Utility,https://www.foxnews.com/auto/the-fastest-police-car-is-fords-new-suv,secondary,B,"3.3L hybrid 318 hp/322 lb-ft and 3.0L EcoBoost 400 hp/416 lb-ft figures, 10-speed automatic, standard AWD"
SRC-179,The Autopian,One Of The Fastest Ford Fox Bodies Was A Mustang You Probably Never Ever Wanted To See,https://www.theautopian.com/one-of-the-fastest-ford-fox-bodies-was-a-mustang-you-probably-never-ever-wanted-to-see/,secondary,B,"302ci V8 225 hp/300 lb-ft late-SSP rating, 5-speed manual, limited-slip differential, CHP program origin"
SRC-180,The Henry Ford (museum),Ferris Bueller's Faux Ferrari: A Replica with Real History,https://www.thehenryford.org/collections/explore/articles/detail/articles/2022/12/02/ferris-bueller-s-faux-ferrari-a-replica-with-real-history,museum archive,B+,"302ci Ford V8 ex-1974 Torino donor engine 135 hp factory rating, Ford 3-speed automatic, steel-tube frame, MG-derived body"
SRC-181,Silodrome,Mad Max Interceptor Pursuit Special,https://silodrome.com/mad-max-interceptor-pursuit-special/,secondary,B,"1973 Ford Falcon XB GT Coupe base, Graf-X International build, non-functional supercharger in Mad Max 1979 vs functional in Mad Max 2"
SRC-140,stuttcars.com,Porsche 911 Turbo 3.0 (930) 1975-1977 Specifications & Performance,https://www.stuttcars.com/porsche-911-turbo-3.0-930-1975-1979-specifications-performance/,technical archive,B,"930 3.0: torque 343 Nm @ 4000 rpm, 4-speed manual, wheelbase 2272 mm, curb weight 1195 kg"
SRC-141,Porsche Newsroom,Porsche 911 GT3 RS (997 4.0) press kit (PDF),https://newsroom.porsche.com/dam/jcr:fe2fb6d3-d0e3-44d8-8f2d-d82a66674718/PAG-911-GT3-RS-EN.pdf,OEM press kit,A,997 GT3 RS 4.0 identity/press-kit source
SRC-142,stuttcars.com,Porsche 911 GT3 RS 4.0 (997) (2011) Specifications & Performance,https://www.stuttcars.com/porsche-911-gt3-rs-4-0-997-2011-specifications-performance/,technical archive,B,"500 PS @ 8250 rpm, 460 Nm @ 5750 rpm, 6-speed manual, 1360 kg with fluids, ~600-unit production"
SRC-143,Porsche Newsroom (Porsche Cars North America),911 GT2 RS U.S. Press Information,https://newsroom.porsche.com/dam/jcr:7b4d72bf-075f-4af0-bdbc-88491ef75b14/PCNA18_0106_us.pdf.PDF,OEM press kit,A,"991.2 GT2 RS: 700 hp/515 kW, 750 Nm, 7-speed PDK, RWD, 1470 kg full-tank weight"
SRC-144,Wikipedia,Ruf CTR,https://en.wikipedia.org/wiki/Ruf_CTR,secondary,B,"3.4L twin-turbo flat-6, 469 PS, 553 Nm, 5-speed manual, 1150 kg, 2273 mm wheelbase, 1987-1996 production"
SRC-145,carfolio.com,1986 BMW M3 E30: detailed specifications performance and economy data,https://www.carfolio.com/bmw-m3-56155,technical archive,B,"200 PS @ 6750 rpm, 240 Nm @ 4750 rpm, 5-speed manual, wheelbase, curb weight range"
SRC-146,Wikipedia,EK9 Honda Civic Type R,https://en.wikipedia.org/wiki/EK9_Honda_Civic_Type_R,secondary,B,"B16B 185 PS @ 8200 rpm, 160 Nm @ 7500 rpm, 5-speed manual + front helical LSD, 2620 mm wheelbase, ~1090 kg curb weight"
SRC-147,Honda News (Honda/Acura official press site),2006 Acura RSX/RSX Type-S Specifications,https://hondanews.com/en-US/releases/release-0daa64f6d63e67bca17317004c34c18f-2006-acura-rsx-rsx-type-s-specifications,OEM press release,A-,"K20A2 200 hp @ 7400 rpm, 142 lb-ft @ 6000 rpm, 6-speed manual, dimensions"
SRC-148,encycarpedia.com,Toyota MR2 16v (AW11) specs (1985-1987),https://www.encycarpedia.com/toyota/85-mr2-16v-coupe,technical archive,B,"export-market 4A-GE 122 bhp @ 6600 rpm, 105 lb-ft @ 5000 rpm torque, 5-speed manual, ~975 kg curb weight"
