vehicle_id,name,status,priority,current_sources
VEH-048,Porsche 911 Turbo 3.3 (930),HARD_SPEC_CAPTURED,P2,SRC-012
VEH-049,Porsche 911 air-cooled lineage,NEXT_SOURCE_PASS,P2,SRC-011;SRC-012
VEH-050,Porsche 911 water-cooled lineage,NEXT_SOURCE_PASS,P2,SRC-013
VEH-051,Porsche 911 GT3 RS,NEXT_SOURCE_PASS,P2,SRC-013
VEH-052,Porsche 911 GT2 RS,NEXT_SOURCE_PASS,P2,
VEH-053,RUF-modified Porsche lineage,NEXT_SOURCE_PASS,P2,
VEH-054,BMW M3 E30,NEXT_SOURCE_PASS,P2,SRC-017
VEH-055,BMW M3 E36,NEXT_SOURCE_PASS,P2,SRC-017
VEH-056,BMW M3 E46,NEXT_SOURCE_PASS,P2,SRC-017
VEH-057,BMW M3 E9x V8,NEXT_SOURCE_PASS,P2,SRC-017
VEH-058,BMW M3 F80,NEXT_SOURCE_PASS,P2,SRC-017
VEH-059,BMW M3 G80,NEXT_SOURCE_PASS,P2,SRC-017
VEH-060,BMW M3 GTR,NEXT_SOURCE_PASS,P2,SRC-017
VEH-061,Nissan Skyline GT-R R32,NEXT_SOURCE_PASS,P2,SRC-015
VEH-062,Nissan Skyline GT-R R33 V-Spec,HARD_SPEC_CAPTURED,P2,SRC-014
VEH-063,Nissan Skyline GT-R R34,NEXT_SOURCE_PASS,P2,SRC-016
VEH-064,Toyota Supra A80 / 2JZ-GTE archetype,NEXT_SOURCE_PASS,P2,
VEH-065,Honda Civic Si,NEXT_SOURCE_PASS,P2,SRC-019
VEH-066,Honda Civic EK,NEXT_SOURCE_PASS,P2,
VEH-067,Acura RSX,NEXT_SOURCE_PASS,P2,
VEH-068,Acura NSX first generation,NEXT_SOURCE_PASS,P2,SRC-020;SRC-021
VEH-069,Acura NSX second generation,NEXT_SOURCE_PASS,P2,SRC-022
VEH-070,Toyota MR2 AW11,NEXT_SOURCE_PASS,P2,SRC-023;SRC-024
VEH-071,Toyota MR2 SW20,NEXT_SOURCE_PASS,P2,SRC-023
VEH-072,Toyota MR2 Spyder / MR-S ZZW30,NEXT_SOURCE_PASS,P2,SRC-023;SRC-025
VEH-073,Fiat/Bertone X1/9,NEXT_SOURCE_PASS,P2,SRC-035
VEH-074,Lotus Elan,HARD_SPEC_CAPTURED,P2,SRC-018
VEH-075,Lotus Esprit Turbo,REFERENCE_ENVELOPE,P2,
VEH-076,Lotus/Caterham Seven archetype,REFERENCE_ENVELOPE,P2,
VEH-077,British lightweight roadster archetype,REFERENCE_ENVELOPE,P2,SRC-018
VEH-078,cycle-fender lightweight sports car archetype,REFERENCE_ENVELOPE,P2,SRC-018
VEH-079,modern minimalist track roadster archetype,REFERENCE_ENVELOPE,P2,
VEH-080,1964 Pontiac GTO,HARD_SPEC_CAPTURED,P2,SRC-026
VEH-081,American big-block muscle archetype,NEXT_SOURCE_PASS,P2,SRC-026
VEH-082,period supercharged big-block muscle archetype,NEXT_SOURCE_PASS,P2,
VEH-083,Pontiac Firebird / Trans Am,NEXT_SOURCE_PASS,P2,SRC-038
VEH-084,Dodge Viper RT/10,NEXT_SOURCE_PASS,P2,
VEH-085,Dodge Stealth,NEXT_SOURCE_PASS,P2,
VEH-086,Chevrolet Corvette C4,NEXT_SOURCE_PASS,P2,SRC-027
VEH-087,Chevrolet Corvette C5,NEXT_SOURCE_PASS,P2,SRC-027
VEH-088,Chevrolet Corvette C6,NEXT_SOURCE_PASS,P2,SRC-027
VEH-089,Chevrolet Corvette C7,NEXT_SOURCE_PASS,P2,SRC-027
VEH-090,Chevrolet Corvette Z06 lineage,NEXT_SOURCE_PASS,P2,SRC-028
VEH-091,Ferrari 250 GT California,NEXT_SOURCE_PASS,P3,
VEH-092,Modena GT Spyder replica (Ferris Bueller),NEXT_SOURCE_PASS,P3,
VEH-093,Ferrari 365 GTB/4 Daytona,HARD_SPEC_CAPTURED,P3,
VEH-094,Ferrari Daytona replica / Miami Vice,NEXT_SOURCE_PASS,P3,
VEH-095,Ford GT40,NEXT_SOURCE_PASS,P3,SRC-029;SRC-030;SRC-031
VEH-096,Superformance GT40 MKI,HARD_SPEC_CAPTURED,P3,SRC-032
VEH-097,Ford Falcon XB GT,NEXT_SOURCE_PASS,P3,
VEH-098,Mad Max Interceptor,NEXT_SOURCE_PASS,P3,
VEH-099,Lamborghini Diablo,NEXT_SOURCE_PASS,P3,
VEH-100,Ferrari 308,NEXT_SOURCE_PASS,P3,
VEH-101,Ferrari 328,NEXT_SOURCE_PASS,P3,
VEH-102,Toyota S-FR Racing Concept,NEXT_SOURCE_PASS,P3,
VEH-103,Vision Gran Turismo concepts,NEXT_SOURCE_PASS,P3,
VEH-104,AMC Pacer,NEXT_SOURCE_PASS,P3,
VEH-105,Ford Crown Victoria Police Interceptor,NEXT_SOURCE_PASS,P1,SRC-034
VEH-106,Dodge Charger Pursuit,NEXT_SOURCE_PASS,P1,
VEH-107,Ford Police Interceptor Utility AWD,NEXT_SOURCE_PASS,P1,SRC-033
VEH-108,Corvette-type high-performance pursuit reference,NEXT_SOURCE_PASS,P1,SRC-027
VEH-109,Mustang SSP / Special Service Package,NEXT_SOURCE_PASS,P1,SRC-009;SRC-010
VEH-110,Apex pursuit vehicle,REFERENCE_ENVELOPE,P1,
VEH-111,Trans-Am-spec Hero,REFERENCE_ENVELOPE,P2,
VEH-112,Super Stock Drag Pack,REFERENCE_ENVELOPE,P2,
VEH-113,Pro-Touring Restomod,REFERENCE_ENVELOPE,P2,
VEH-114,Apex Aero-R,REFERENCE_ENVELOPE,P2,
VEH-115,Apex Revenant,REFERENCE_ENVELOPE,P2,
VEH-116,Driveway Special,REFERENCE_ENVELOPE,P2,
VEH-117,Full Compression,REFERENCE_ENVELOPE,P2,
VEH-118,Hi-Po Spec,REFERENCE_ENVELOPE,P2,
VEH-119,Homologation Run,REFERENCE_ENVELOPE,P2,
VEH-120,Paxton Special,REFERENCE_ENVELOPE,P2,
VEH-121,early-1970s rear-engine flat-six homologation GT,REFERENCE_ENVELOPE,P2,
VEH-122,ducktail rear-engine GT,REFERENCE_ENVELOPE,P2,
VEH-123,widebody turbo rear-engine GT,REFERENCE_ENVELOPE,P2,
VEH-124,whale-tail turbo GT,REFERENCE_ENVELOPE,P2,
VEH-125,modern active-aero rear-engine GT,REFERENCE_ENVELOPE,P2,
VEH-126,early Japanese turbo inline-six coupe,REFERENCE_ENVELOPE,P2,
VEH-127,1980s turbo inline-six GT coupe,REFERENCE_ENVELOPE,P2,
VEH-128,1990s peak-era Japanese turbo inline-six coupe,REFERENCE_ENVELOPE,P2,
VEH-129,large-single-turbo modified Japanese coupe,REFERENCE_ENVELOPE,P2,
VEH-130,late-era Japanese turbo inline-six performance coupe,REFERENCE_ENVELOPE,P2,
VEH-131,1980s naturally aspirated German performance saloon,REFERENCE_ENVELOPE,P2,
VEH-132,1990s refined German performance saloon,REFERENCE_ENVELOPE,P2,
VEH-133,high-revving naturally aspirated German sports saloon,REFERENCE_ENVELOPE,P2,
VEH-134,late-NA German performance saloon,REFERENCE_ENVELOPE,P2,
VEH-135,turbo-transition German sports saloon,REFERENCE_ENVELOPE,P2,
VEH-136,modern turbocharged German performance saloon,REFERENCE_ENVELOPE,P2,
VEH-137,first-generation American big-block muscle car,REFERENCE_ENVELOPE,P2,
VEH-138,peak-displacement big-block muscle car,REFERENCE_ENVELOPE,P2,
VEH-139,emissions-era big-block/muscle decline car,REFERENCE_ENVELOPE,P2,
VEH-140,1960s lightweight rear-drive economy compact,REFERENCE_ENVELOPE,P2,
VEH-141,1970s refined rear-drive economy compact,REFERENCE_ENVELOPE,P2,
VEH-142,early front-wheel-drive hot hatch,REFERENCE_ENVELOPE,P2,
VEH-143,1990s refined hot hatch,REFERENCE_ENVELOPE,P2,
VEH-144,2000s mature hot hatch,REFERENCE_ENVELOPE,P2,
VEH-145,2010s turbo hot hatch,REFERENCE_ENVELOPE,P2,
VEH-146,present-day restrained turbo hot hatch,REFERENCE_ENVELOPE,P2,
VEH-147,351-family Mustang/Ford V8 cars,REFERENCE_ENVELOPE,P2,
VEH-148,Top Loader-equipped classic Mustangs,REFERENCE_ENVELOPE,P2,
VEH-149,Paxton-supercharged Shelby/Mustang applications,REFERENCE_ENVELOPE,P2,
VEH-150,5.0 Mustang LX performance variants,REFERENCE_ENVELOPE,P1,
VEH-151,Fox-era aftermarket turbo Mustang builds,REFERENCE_ENVELOPE,P2,
VEH-152,PBR-brake-equipped SVT Cobra,REFERENCE_ENVELOPE,P2,
VEH-153,TR-3650-equipped Mustang,REFERENCE_ENVELOPE,P2,
VEH-154,4.6L 3-valve Mustang GT,REFERENCE_ENVELOPE,P1,
VEH-155,MT82-equipped Mustang GT,REFERENCE_ENVELOPE,P2,
VEH-156,10-speed automatic Mustang GT,REFERENCE_ENVELOPE,P2,
VEH-157,5.0 Coyote / 10-speed modern combination,REFERENCE_ENVELOPE,P2,
VEH-158,GT350R,REFERENCE_ENVELOPE,P2,
VEH-159,Porsche 911 historical game/lineage reference,REFERENCE_ENVELOPE,P2,
